转换开始时间: 2026-02-10 09:12:23.709289
模式: hdict_to_voc
输入: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
输出: E:/个人项目/halcon_2_voc/test/test_xml
------------------------------------------------------------
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取到 10 个类别名称
[09:12:23] 读取到 10 个类别名称
[09:12:23] 共 300 个样本
[09:12:23] 共 300 个样本
[09:12:23] 生成: jsyw_100_test_final_0023.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0024.xml （有标注，1 个框）
[09:12:23] 生成: jsyw_100_test_final_0024.xml （有标注，1 个框）
[09:12:23] 生成: jsyw_100_test_final_0025.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0025.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0026.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0026.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0027.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0027.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0030.xml （有标注，7 个框）
[09:12:23] 生成: jsyw_100_test_final_0030.xml （有标注，7 个框）
[09:12:24] 生成: jsyw_100_test_final_0031.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0031.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0034.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0034.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0035.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0035.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0040.xml （有标注，10 个框）
[09:12:24] 生成: jsyw_100_test_final_0040.xml （有标注，10 个框）
[09:12:24] 生成: jsyw_100_test_final_0041.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0041.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0042.xml （有标注，8 个框）
[09:12:24] 生成: jsyw_100_test_final_0042.xml （有标注，8 个框）
[09:12:24] 生成: jsyw_100_test_final_0047.xml （有标注，9 个框）
[09:12:24] 生成: jsyw_100_test_final_0047.xml （有标注，9 个框）
[09:12:24] 生成: jsyw_100_test_final_0049.xml （有标注，12 个框）
[09:12:24] 生成: jsyw_100_test_final_0049.xml （有标注，12 个框）
[09:12:24] 生成: jsyw_100_test_final_0051.xml （有标注，1 个框）
[09:12:24] 生成: jsyw_100_test_final_0051.xml （有标注，1 个框）
[09:12:24] 生成: jsyw_100_test_final_0057.xml （有标注，8 个框）
